                                                              FField value Ref value    1/Weight        Error           Total error    Percent
Energy -PbI2_Hex_opt/  1 +PbI2_Hex_112/  1                        1.3616      1.2616      0.5000         0.0400            115.7691      0.01
Energy -PbI2_Hex_opt/  1 +PbI2_Hex_116/  1                        2.3035      2.0741      1.0000         0.0526            115.8218      0.01
Energy -PbI2_Hex_opt/  1 +PbI2_Hex_120/  1                        3.4039      2.9947      2.0000         0.0419            115.8636      0.01
Energy -PbI2_MoS2_opt/  2 +PbI2_MoS2_080/  2                     10.0572      8.8646      2.0000         0.3555            116.2192      0.06
Energy -PbI2_MoS2_opt/  2 +PbI2_MoS2_084/  2                      6.1366      5.0643      1.0000         1.1499            117.3691      0.18
Energy -PbI2_MoS2_opt/  2 +PbI2_MoS2_088/  2                      3.3871      2.5642      0.5000         2.7085            120.0776      0.43
Energy -PbI2_MoS2_opt/  2 +PbI2_MoS2_092/  2                      1.5618      1.0399      0.2000         6.8092            126.8868      1.07
Energy -PbI2_MoS2_opt/  2 +PbI2_MoS2_096/  2                      0.4802      0.2465      0.2000         1.3654            128.2522      0.21
Energy -PbI2_MoS2_opt/  2 +PbI2_MoS2_100/  2                      0.0000      0.0000      0.1000         0.0000            128.2522      0.00
Energy -PbI2_MoS2_opt/  2 +PbI2_MoS2_104/  2                     -0.0765      0.1646      0.2000         1.4531            129.7053      0.23
Energy -PbI2_MoS2_opt/  2 +PbI2_MoS2_108/  2                      0.1893      0.6412      0.2000         5.1069            134.8121      0.80
Energy -PbI2_MoS2_opt/  2 +PbI2_MoS2_112/  2                      0.7340      1.3574      0.5000         1.5544            136.3665      0.24
Energy -PbI2_MoS2_opt/  2 +PbI2_MoS2_116/  2                      1.5063      2.2610      1.0000         0.5695            136.9360      0.09
Energy -PbI2_MoS2_opt/  2 +PbI2_MoS2_120/  2                      2.4639      3.3134      2.0000         0.1804            137.1165      0.03
Energy -PbI2_Hex_opt/  1 +PbI2_Hex_a_080/  1                     20.7903     17.8647      5.0000         0.3424            137.4588      0.05
